DATE,AQI,PM2.5,PM10,SO2,NO2,CO2,O3
16-10-2021,22,3,18,2,10,0.25,48
17-10-2021,38,15,41,2,32,0.38,21
18-10-2021,58,34,66,2,40,0.52,20
19-10-2021,24,5,20,2,18,0.26,43
20-10-2021,44,22,46,2,36,0.43,22
21-10-2021,35,15,34,2,25,0.36,34
22-10-2021,30,8,28,2,25,0.28,42
23-10-2021,54,29,57,3,41,0.45,30
24-10-2021,91,68,82,3,50,0.68,34
25-10-2021,153,116,107,3,56,0.92,36
26-10-2021,87,57,60,2,33,0.59,38
27-10-2021,31,7,30,2,30,0.32,32
28-10-2021,46,18,50,2,38,0.49,22
29-10-2021,94,66,92,4,60,0.82,20
30-10-2021,126,95,97,3,54,0.89,31
01-09-2021,40,15,35,2,23,0.5,84
02-09-2021,45,20,43,2,21,0.55,91
03-09-2021,53,27,52,2,20,0.65,98
04-09-2021,35,21,33,2,16,0.79,75
05-09-2021,25,13,23,2,14,0.53,59
06-09-2021,19,4,8,3,11,0.4,51
07-09-2021,28,10,26,2,17,0.45,62
08-09-2021,38,19,36,2,18,0.58,92
09-09-2021,47,32,48,2,22,0.73,71
10-09-2021,53,31,53,2,20,0.79,90
11-09-2021,65,42,72,2,22,0.93,97
12-09-2021,50,28,53,2,21,0.91,54
13-09-2021,35,17,32,2,18,0.77,55
14-09-2021,37,19,36,2,19,0.78,44
15-09-2021,44,18,44,2,26,0.7,43
16-09-2021,31,15,31,2,24,0.68,29
17-09-2021,27,8,22,2,19,0.42,44
18-09-2021,42,18,44,2,28,0.53,43
19-09-2021,31,20,30,2,19,0.6,44
20-09-2021,21,4,5,2,11,0.52,61
21-09-2021,20,4,13,2,15,0.43,51
22-09-2021,29,8,26,2,20,0.43,59
23-09-2021,47,20,47,3,28,0.66,68
24-09-2021,24,14,20,2,18,0.86,51
25-09-2021,26,13,23,2,16,0.6,52
26-09-2021,21,12,20,2,20,0.58,32
27-09-2021,27,11,23,2,19,0.49,48
28-09-2021,47,22,49,2,27,0.62,44
29-09-2021,43,17,43,2,26,0.54,47
30-09-2021,54,30,58,3,24,0.85,52
01-08-2021,23,5,17,2,9,0.37,66
02-08-2021,24,4,18,2,11,0.38,66
03-08-2021,39,15,39,2,12,0.7,89
04-08-2021,49,28,47,2,14,0.75,109
05-08-2021,43,25,41,2,12,0.68,109
06-08-2021,40,23,40,2,16,0.58,85
07-08-2021,68,40,69,2,17,0.73,108
08-08-2021,64,40,76,2,19,0.77,107
09-08-2021,40,16,23,2,9,0.58,121
10-08-2021,35,13,28,2,15,0.56,90
11-08-2021,52,29,53,2,18,0.82,89
12-08-2021,48,26,48,2,13,0.89,95
13-08-2021,42,21,41,2,15,0.72,90
14-08-2021,36,22,36,2,12,0.68,86
15-08-2021,34,19,34,2,14,0.64,68
16-08-2021,35,22,33,2,14,0.76,75
17-08-2021,27,9,16,2,10,0.53,77
18-08-2021,33,14,32,2,18,0.53,69
19-08-2021,29,14,22,2,13,0.59,67
20-08-2021,26,8,15,2,11,0.62,77
21-08-2021,31,10,25,2,15,0.55,67
22-08-2021,58,33,67,2,17,1.32,85
23-08-2021,49,25,49,2,11,0.69,96
24-08-2021,24,8,17,2,11,0.38,73
25-08-2021,19,5,16,2,14,0.37,57
26-08-2021,19,4,15,2,12,0.37,52
27-08-2021,24,7,20,3,15,0.41,55
28-08-2021,26,9,24,2,19,0.43,42
29-08-2021,37,16,38,2,17,0.45,73
30-08-2021,50,25,50,2,21,0.58,82
31-08-2021,42,23,37,2,18,0.62,85
01-07-2021,34,12,27,2,12,0.43,96
02-07-2021,37,10,23,2,10,0.4,109
03-07-2021,37,7,15,2,9,0.47,113
04-07-2021,33,9,21,2,14,0.41,82
05-07-2021,35,10,29,2,19,0.47,82
06-07-2021,38,11,20,3,10,0.49,116
07-07-2021,49,21,40,2,15,0.64,108
08-07-2021,38,12,31,2,17,0.48,92
09-07-2021,51,16,37,2,15,0.55,125
10-07-2021,62,31,67,2,19,0.87,116
11-07-2021,49,26,48,2,14,0.85,120
12-07-2021,16,4,5,2,8,0.44,51
13-07-2021,21,8,16,2,12,0.59,59
14-07-2021,37,19,33,2,13,0.75,93
15-07-2021,45,26,42,3,13,0.87,106
16-07-2021,34,17,32,2,10,0.73,95
17-07-2021,23,12,22,3,9,0.58,52
18-07-2021,26,15,25,2,11,0.61,47
19-07-2021,29,16,28,2,13,0.56,68
20-07-2021,36,18,34,2,13,0.59,68
21-07-2021,32,16,32,2,15,0.6,51
22-07-2021,25,13,24,2,17,0.65,34
23-07-2021,33,14,30,2,16,0.48,64
24-07-2021,50,26,52,2,17,0.54,87
25-07-2021,54,30,59,2,17,0.6,90
26-07-2021,54,29,59,2,16,0.67,86
27-07-2021,24,11,16,2,11,0.55,73
28-07-2021,20,11,19,2,15,0.62,35
29-07-2021,20,9,16,2,13,0.53,35
30-07-2021,19,6,13,2,10,0.43,53
31-07-2021,43,14,36,2,14,0.58,86
01-06-2021,37,14,34,2,19,0.5,75
02-06-2021,45,21,47,2,25,0.64,66
03-06-2021,27,2,21,2,15,0.23,61
04-06-2021,34,6,29,2,18,0.25,60
05-06-2021,30,7,23,2,19,0.26,63
06-06-2021,44,11,42,2,22,0.38,92
07-06-2021,49,20,46,3,18,0.64,110
08-06-2021,61,27,54,2,16,0.75,137
09-06-2021,51,28,56,2,20,1.59,84
10-06-2021,32,9,22,2,15,0.35,97
11-06-2021,51,14,44,2,29,0.38,99
12-06-2021,88,29,77,3,31,0.54,149
13-06-2021,81,44,94,3,21,1.05,150
14-06-2021,33,21,31,3,13,0.93,85
15-06-2021,52,22,35,2,12,0.7,118
16-06-2021,33,18,33,2,18,0.63,60
17-06-2021,28,7,16,2,15,0.37,64
18-06-2021,29,5,25,2,18,0.23,62
19-06-2021,36,8,33,2,23,0.23,58
20-06-2021,38,9,33,2,23,0.26,66
21-06-2021,63,17,65,3,24,0.45,114
22-06-2021,53,14,43,2,16,0.49,117
23-06-2021,38,18,34,2,20,0.44,78
24-06-2021,43,23,44,2,24,0.53,90
25-06-2021,49,31,49,2,17,0.84,99
26-06-2021,40,20,37,2,13,0.66,104
27-06-2021,57,25,46,2,15,0.73,113
28-06-2021,62,32,54,2,15,0.8,126
29-06-2021,43,26,41,2,12,0.65,95
30-06-2021,34,13,27,2,9,0.53,108
01-05-2021,29,9,29,2,16,0.25,56
02-05-2021,41,12,43,2,17,0.25,67
03-05-2021,65,35,78,4,24,0.49,88
04-05-2021,54,13,63,2,11,0.24,80
05-05-2021,74,26,99,2,18,0.3,82
06-05-2021,200,82,339,3,17,0.84,81
07-05-2021,142,72,215,2,8,0.25,81
08-05-2021,95,44,130,2,16,0.25,72
09-05-2021,52,20,54,3,30,0.37,72
10-05-2021,52,21,56,3,27,0.48,89
11-05-2021,50,23,48,2,23,0.57,97
12-05-2021,47,13,47,2,28,0.4,83
13-05-2021,61,41,69,4,30,0.91,79
14-05-2021,64,40,76,2,28,1.07,71
15-05-2021,35,12,32,2,14,0.4,63
16-05-2021,26,3,20,2,17,0.24,66
17-05-2021,43,11,43,2,30,0.32,68
18-05-2021,57,20,63,2,34,0.4,81
19-05-2021,72,30,75,4,25,0.54,121
20-05-2021,63,35,72,2,20,0.53,108
21-05-2021,71,37,71,2,21,0.61,119
22-05-2021,76,32,83,2,22,0.6,130
23-05-2021,135,51,191,2,10,0.23,69
24-05-2021,53,14,59,2,14,0.22,59
25-05-2021,67,18,83,2,16,0.32,88
26-05-2021,52,16,59,2,22,0.38,76
27-05-2021,39,11,40,2,23,0.31,54
28-05-2021,28,3,18,2,10,0.2,81
29-05-2021,39,8,32,2,14,0.25,91
30-05-2021,45,16,39,2,18,0.38,105
31-05-2021,42,25,41,2,23,0.79,63
01-04-2021,113,73,176,8,44,0.93,78
02-04-2021,59,36,68,2,26,0.45,73
03-04-2021,37,13,27,2,18,0.27,65
04-04-2021,32,6,28,2,20,0.22,68
05-04-2021,60,30,70,3,29,0.38,68
06-04-2021,55,30,60,2,31,0.39,73
07-04-2021,66,39,81,4,35,0.51,67
08-04-2021,64,33,72,3,34,0.42,69
09-04-2021,64,40,77,6,33,0.65,74
10-04-2021,89,65,101,7,39,0.88,79
11-04-2021,83,59,95,3,34,0.53,79
12-04-2021,74,47,73,3,31,0.59,51
13-04-2021,30,5,24,2,13,0.22,74
14-04-2021,66,23,83,2,27,0.3,57
15-04-2021,171,69,306,4,23,0.4,67
16-04-2021,111,36,172,2,8,0.21,70
17-04-2021,34,9,33,2,13,0.22,68
18-04-2021,64,25,78,3,32,0.35,60
19-04-2021,90,54,131,3,39,0.5,87
20-04-2021,87,52,125,3,38,0.57,101
21-04-2021,64,39,76,2,34,0.55,83
22-04-2021,47,32,42,2,26,0.62,69
23-04-2021,46,24,37,2,21,0.5,69
24-04-2021,41,20,41,2,20,0.45,79
25-04-2021,56,38,58,2,26,0.55,77
26-04-2021,57,36,62,3,28,0.49,76
27-04-2021,80,28,108,2,19,0.35,70
28-04-2021,57,13,64,2,16,0.22,74
29-04-2021,56,16,66,2,20,0.26,67
30-04-2021,32,12,30,2,23,0.3,59
01-03-2021,31,21,15,2,13,0.41,56
02-03-2021,79,58,51,2,22,0.66,30
03-03-2021,147,112,99,1,37,1.07,20
04-03-2021,198,149,128,2,49,1.34,18
05-03-2021,156,116,103,2,36,1.13,26
06-03-2021,48,20,51,3,25,0.58,43
07-03-2021,77,56,72,2,39,0.71,28
08-03-2021,115,87,82,3,48,0.8,29
09-03-2021,184,141,110,4,50,1.02,43
10-03-2021,232,184,132,3,55,1.23,44
11-03-2021,163,123,81,2,39,0.93,51
12-03-2021,135,103,69,2,36,0.9,36
13-03-2021,134,102,60,2,29,1,49
14-03-2021,172,130,95,1,46,0.98,24
15-03-2021,363,208,1563,2,19,0.42,54
16-03-2021,114,36,178,2,19,0.29,59
17-03-2021,185,62,312,3,49,0.63,22
18-03-2021,97,55,130,2,27,0.63,46
19-03-2021,97,72,91,2,34,0.77,31
20-03-2021,83,30,88,2,16,0.45,50
21-03-2021,32,6,31,2,10,0.23,71
22-03-2021,128,27,207,2,27,0.31,45
23-03-2021,87,37,123,3,42,0.48,43
24-03-2021,106,40,162,2,30,0.4,56
25-03-2021,88,56,115,4,40,0.5,65
26-03-2021,178,134,159,3,73,1.01,31
27-03-2021,178,134,111,2,39,1,51
28-03-2021,289,132,790,2,17,0.4,68
29-03-2021,87,20,125,2,22,0.25,64
30-03-2021,141,53,224,3,35,0.5,56
31-03-2021,115,53,181,2,39,0.55,53
01-02-2021,48,20,52,2,12,0.38,55
02-02-2021,36,13,36,2,17,0.42,47
03-02-2021,47,17,50,3,23,0.47,40
04-02-2021,54,33,60,4,34,0.62,37
05-02-2021,65,41,73,4,44,0.83,32
06-02-2021,81,33,112,3,26,0.53,52
07-02-2021,46,24,57,3,12,0.44,58
08-02-2021,43,29,41,3,28,0.62,41
09-02-2021,84,62,71,5,39,0.92,42
10-02-2021,99,74,81,6,39,1.04,53
11-02-2021,204,159,149,8,41,1.7,62
12-02-2021,249,201,205,8,31,1.62,76
13-02-2021,255,205,192,5,38,2.28,27
14-02-2021,141,109,88,2,22,1.5,28
15-02-2021,33,8,24,2,7,0.27,68
16-02-2021,32,5,31,2,4,0.21,72
17-02-2021,22,8,15,2,7,0.27,64
18-02-2021,35,24,33,4,24,0.48,45
19-02-2021,64,44,65,4,42,0.79,36
20-02-2021,70,44,90,4,48,0.81,33
21-02-2021,119,55,186,3,34,0.66,41
22-02-2021,55,28,69,3,13,0.38,66
23-02-2021,47,27,49,2,19,0.54,49
24-02-2021,60,42,51,3,26,0.67,38
25-02-2021,103,77,75,3,34,0.95,41
26-02-2021,170,129,107,4,39,1.3,54
27-02-2021,162,122,100,6,38,1.06,66
28-02-2021,129,97,71,3,38,0.95,44
01-01-2021,55,28,61,5,49,0.73,10
02-01-2021,72,51,79,5,47,1.19,13
03-01-2021,30,13,30,3,30,0.42,29
04-01-2021,37,15,37,3,23,0.42,39
05-01-2021,28,10,27,2,18,0.3,40
06-01-2021,61,11,75,2,7,0.25,51
07-01-2021,27,8,26,2,9,0.3,49
08-01-2021,28,8,28,2,12,0.24,52
09-01-2021,34,9,35,2,13,0.26,50
10-01-2021,25,8,23,2,13,0.26,55
11-01-2021,49,18,57,3,19,0.38,38
12-01-2021,97,43,143,4,47,0.73,16
13-01-2021,142,57,234,2,30,0.54,39
14-01-2021,82,53,115,5,34,0.95,24
15-01-2021,99,42,146,2,17,0.49,49
16-01-2021,30,9,30,2,11,0.27,55
17-01-2021,50,16,54,3,22,0.38,42
18-01-2021,55,18,61,3,25,0.42,40
19-01-2021,46,26,46,2,24,0.61,33
20-01-2021,71,51,62,3,37,0.8,20
21-01-2021,103,77,93,5,51,1.17,16
22-01-2021,112,84,109,8,54,1.45,22
23-01-2021,115,86,93,3,50,1.34,20
24-01-2021,137,104,103,3,52,1.3,20
25-01-2021,175,132,106,2,59,1.5,10
26-01-2021,110,82,78,2,40,1.08,30
27-01-2021,54,27,60,5,33,0.74,35
28-01-2021,44,6,48,2,7,0.24,64
29-01-2021,47,19,50,3,31,0.53,27
30-01-2021,68,40,86,4,47,0.88,19
31-01-2021,87,63,81,3,33,1.05,28
01-12-2020,40,24,41,3,42,0.5,15
02-12-2020,34,18,35,3,28,0.43,33
